1120.3;0.72;analyse business objectives;analyse financial performance of a company;assume responsibility for the management of a business;conclude business agreements;define organisational standards;delegate activities;develop business plans;develop company strategies;develop organisational policies;develop revenue generation strategies;establish collaborative relations;imprint visionary aspirations into the business management;integrate shareholders' interests in business plans;integrate strategic foundation in daily performance;interpret financial statements;lead managers of company departments;liaise with shareholders;make strategic business decisions;negotiate with stakeholders;plan medium to long term objectives;shape corporate culture;shape organisational teams based on competencies;show an exemplary leading role in an organisation;strive for company growth;track key performance indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1330.5;0.714;attend to ICT systems quality;define technology strategy;design process;develop ICT workflow;improve business processes;maintain relationship with suppliers;manage budgets;manage changes in ICT system;manage staff;oversee quality control;perform project management;track key performance indicators;train employees;use ICT ticketing system;use different communication channels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2161.1;0.714;advise on building matters;analyse problems for opportunities;conduct field work;consider building constraints in architectural designs;create architectural sketches;design buildings;design open spaces;design spatial layout of outdoor areas;develop architectural plans;draw blueprints;execute feasibility study;identify customer's needs;identify necessary human resources;integrate building requirements of clients in the architectural design;integrate engineering principles in architectural design;integrate measures in architectural designs;interpret technical requirements;meet building regulations;negotiate with stakeholders;perform field research;provide cost benefit analysis reports;satisfy aesthetic requirements;satisfy technical requirements;use CAD software;write an architectural brief;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2221.2;0.101;accept own accountability;adapt leadership styles in healthcare;address problems critically;adhere to organisational guidelines;advise on healthcare users' informed consent;advise on healthy lifestyles;analyse the care quality;apply context specific clinical competences;apply health sciences;apply nursing care in long-term care;apply organisational techniques;apply person-centred care;apply sustainability principles in health care;communicate effectively in healthcare;comply with legislation related to health care;comply with quality standards related to healthcare practice;contribute to continuity of health care;coordinate care;deal with emergency care situations;delegate activities;develop a collaborative therapeutic relationship;diagnose nursing care;educate on the prevention of illness;empathise with the healthcare user;empower individuals;ensure safety of healthcare users;evaluate nursing care;follow clinical guidelines;have computer literacy;implement fundamentals of nursing;implement nursing care;implement scientific decision making in healthcare;inform policy makers on health-related challenges;initiate life preserving measures;interact with healthcare users;listen actively;manage information in health care;manage personal professional development;participate in health personnel training;plan nursing care;promote a positive image of nursing;promote human rights;promote inclusion;provide health education;provide nursing advice on healthcare;provide professional care in nursing;provide treatment strategies for challenges to human health;respond to changing situations in health care;solve problems in healthcare;use e-health and mobile health technologies;use electronic health records in nursing;work in a multicultural environment in health care;work in multidisciplinary health teams;;;;;;;;;;;
2264.3;0.318;accept own accountability;adhere to health well-being and safety;adhere to organisational guidelines;adjust physiotherapy interventions;advise on healthcare users' informed consent;advocate health;apply clinical physiotherapy skills;apply context specific clinical competences;apply health sciences;apply organisational techniques;collect healthcare user's general data;communicate effectively in healthcare;comply with legislation related to health care;comply with quality standards related to healthcare practice;conduct health related research;conduct physiotherapy assessment;contribute to continuity of health care;contribute to quality physiotherapy services;contribute to the rehabilitation process;create solutions to problems;deal with emergency care situations;develop a collaborative therapeutic relationship;develop physiotherapy services;develop plans related to client discharge;develop plans related to the transfer of care;develop strategic plans for physiotherapy services;develop therapeutic relationships;educate on the prevention of illness;empathise with the healthcare user;employ cognitive behaviour treatment techniques;engage in physiotherapy research;ensure safety of healthcare users;follow clinical guidelines;formulate a treatment plan;inform policy makers on health-related challenges;interact with healthcare users;interpret medical results;listen actively;maintain physiotherapy equipment;manage a healthcare unit budget;manage clinical risk;manage healthcare users' data;manage physiotherapy staff;measure effectiveness of the service provided;prescribe healthcare products;promote health and safety policies in health services;promote inclusion;provide health education;provide information on the effects of physiotherapy;provide leadership;provide learning support in healthcare;provide physiotherapy diagnosis;provide self management support;provide treatment strategies for challenges to human health;record healthcare users' progress related to treatment;refer healthcare users;respond to changing situations in health care;supervise physiotherapist assistants;supervise physiotherapy students;triage clients for physiotherapy;use different communication channels;use e-health and mobile health technologies;work in a multicultural environment in health care;work in multidisciplinary health teams
2341.1;0.207;adapt teaching to student's capabilities;apply intercultural teaching strategies;apply teaching strategies;assess students;assign homework;assist students in their learning;assist students with equipment;demonstrate when teaching;employ pedagogic strategies to facilitate creative engagement;encourage students to acknowledge their achievements;facilitate teamwork between students;give constructive feedback;guarantee students' safety;implement care programmes for children;maintain relations with children's parents;maintain students' discipline;manage children's problems;manage student relationships;observe student's progress;perform classroom management;prepare lesson content;prepare youths for adulthood;support the positiveness of youths;teach primary education class content;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2342.1;0.023;adapt teaching to student's capabilities;apply intercultural teaching strategies;apply teaching strategies;assess the development of youth;assist in children's development of basic personal skills;assist students in their learning;assist students with equipment;demonstrate when teaching;encourage students to acknowledge their achievements;facilitate teamwork between students;give constructive feedback;guarantee students' safety;implement care programmes for children;maintain students' discipline;manage children's problems;manage student relationships;observe student's progress;perform classroom management;prepare lesson content;support children's wellbeing;support the positiveness of youths;teach kindergarten class content;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2411.1;0.397;analyse financial performance of a company;attach accounting certificates to accounting transactions;calculate tax;check accounting records;draft accounting procedures;ensure compliance with accounting conventions;explain accounting records;follow the statutory obligations;identify accounting errors;interpret financial statements;manage accounts;perform balance sheet operations;prepare financial statements;prepare tax returns forms;prepare trial accounting balances;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2423.3;0.292;apply company policies;assess character;develop professional network;document interviews;fix meetings;identify with the company's goals;interview people;listen actively;manage payroll;negotiate employment agreements;observe confidentiality;profile people;recruit employees;use communication techniques;write work-related reports;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2512.3;0.813;analyse software specifications;create flowchart diagram;debug software;define technical requirements;develop automated migration methods;develop software prototype;identify customer requirements;interpret technical requirements;manage engineering project;perform scientific research;provide technical documentation;use software design patterns;use software libraries;use technical drawing software;utilise computer-aided software engineering tools;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
