JobTitle	Skill	MalePercentage
accountants and auditors	prepare trial accounting balances	38,3
accountants and auditors	draft accounting procedures	38,3
accountants and auditors	calculate tax	38,3
accountants and auditors	ensure compliance with accounting conventions	38,3
accountants and auditors	perform balance sheet operations	38,3
accountants and auditors	interpret financial statements	38,3
accountants and auditors	manage accounts	38,3
accountants and auditors	identify accounting errors	38,3
accountants and auditors	analyse financial performance of a company	38,3
accountants and auditors	prepare financial statements	38,3
accountants and auditors	check accounting records	38,3
accountants and auditors	prepare tax returns forms	38,3
accountants and auditors	explain accounting records	38,3
accountants and auditors	attach accounting certificates to accounting transactions	38,3
accountants and auditors	follow the statutory obligations	38,3
administrative services managers	manage needs for stationery items	58
administrative services managers	manage office appliance requirements	58
administrative services managers	manage administrative systems	58
administrative services managers	perform clerical duties	58
administrative services managers	write work-related reports	58
administrative services managers	manage office facility systems	58
administrative services managers	create a work atmosphere of continuous improvement	58
administrative services managers	use office systems	58
administrative services managers	analyse staff capacity	58
administrative services managers	manage staff	58
administrative services managers	identify improvement actions	58
administrative services managers	give instructions to staff	58
administrative services managers	implement corporate governance	58
administrative services managers	use different communication channels	58
advertising and promotions managers	perform public relations	43,1
advertising and promotions managers	establish relationship with the media	43,1
advertising and promotions managers	manage budgets	43,1
advertising and promotions managers	analyse external factors of companies	43,1
advertising and promotions managers	identify customer's needs	43,1
advertising and promotions managers	develop communications strategies	43,1
advertising and promotions managers	use different communication channels	43,1
advertising and promotions managers	develop public relations strategies	43,1
advertising and promotions managers	coordinate marketing plan actions	43,1
advertising and promotions managers	coordinate advertising campaigns	43,1
advertising and promotions managers	conduct public presentations	43,1
advertising and promotions managers	advise on public image	43,1
advertising and promotions managers	manage contracts	43,1
advertising and promotions managers	integrate strategic foundation in daily performance	43,1
advertising and promotions managers	protect client interests	43,1
advertising and promotions managers	give interviews to media	43,1
advertising and promotions managers	organise press conferences	43,1
advertising and promotions managers	draft press releases	43,1
advertising and promotions managers	perform project management	43,1
advertising and promotions managers	develop creative ideas	43,1
advertising and promotions managers	draw conclusions from market research results	43,1
advertising and promotions managers	advise on public relations	43,1
advertising and promotions managers	provide cost benefit analysis reports	43,1
advertising and promotions managers	prepare presentation material	43,1
advertising sales agents	contact customers	50,3
advertising sales agents	ensure client orientation	50,3
advertising sales agents	ensure compliance with purchasing and contracting regulations	50,3
advertising sales agents	demonstrate motivation for sales	50,3
advertising sales agents	ensure compliance with legal requirements	50,3
advertising sales agents	respond to customers' inquiries	50,3
advertising sales agents	implement customer follow-up	50,3
advertising sales agents	record customers' personal data	50,3
advertising sales agents	use customer relationship management software	50,3
advertising sales agents	keep records of customer interaction	50,3
advertising sales agents	implement sales strategies	50,3
advertising sales agents	keep records on sales	50,3
advertising sales agents	deliver a sales pitch	50,3
advertising sales agents	produce sales reports	50,3
advertising sales agents	advise on merchandise features	50,3
advertising sales agents	prospect new customers	50,3
advertising sales agents	communicate with customers	50,3
advertising sales agents	answer requests for quotation	50,3
advertising sales agents	guarantee customer satisfaction	50,3
aerospace engineers	execute feasibility study	86,2
aerospace engineers	troubleshoot	86,2
aerospace engineers	approve engineering design	86,2
aerospace engineers	assess financial viability	86,2
aerospace engineers	perform scientific research	86,2
aerospace engineers	ensure aircraft compliance with regulation	86,2
aerospace engineers	adjust engineering designs	86,2
aerospace engineers	use technical drawing software	86,2
aircraft mechanics and service technicians	assemble electrical components	95,2
aircraft mechanics and service technicians	evaluate engine performance	95,2
aircraft mechanics and service technicians	repair engines	95,2
aircraft mechanics and service technicians	follow manufacturer guidelines in use of airport equipment	95,2
aircraft mechanics and service technicians	use technical documentation	95,2
aircraft mechanics and service technicians	operate soldering equipment	95,2
aircraft mechanics and service technicians	install electrical and electronic equipment	95,2
aircraft mechanics and service technicians	ensure compliance with airport security measures	95,2
aircraft mechanics and service technicians	read standard blueprints	95,2
aircraft mechanics and service technicians	apply technical communication skills	95,2
aircraft mechanics and service technicians	read engineering drawings	95,2
aircraft mechanics and service technicians	disassemble engines	95,2
aircraft mechanics and service technicians	manage health and safety standards	95,2
aircraft mechanics and service technicians	wear appropriate protective gear	95,2
aircraft mechanics and service technicians	use power tools	95,2
animal trainers	treat animals ethically	41,4
animal trainers	train animals and individuals to work together	41,4
animal trainers	apply safe work practices in a veterinary setting	41,4
animal trainers	provide first aid to animals	41,4
animal trainers	design training programmes for individuals and animals	41,4
animal trainers	practise veterinary professional codes of conduct	41,4
animal trainers	implement exercise activities for animals	41,4
animal trainers	provide animal training	41,4
animal trainers	handle veterinary emergencies	41,4
animal trainers	advise on animal welfare	41,4
animal trainers	deal with challenging people	41,4
animal trainers	monitor the welfare of animals	41,4
animal trainers	manage animal biosecurity	41,4
animal trainers	apply animal hygiene practices	41,4
animal trainers	provide an enriching environment for animals	41,4
animal trainers	implement training programmes for animals	41,4
animal trainers	assess animal behaviour	41,4
appraisers and assessors of real estate	organise a damage assessment	58
appraisers and assessors of real estate	compare property values	58
appraisers and assessors of real estate	examine the conditions of buildings	58
appraisers and assessors of real estate	make an inventory of fixtures	58
appraisers and assessors of real estate	advise on property value	58
appraisers and assessors of real estate	value properties	58
appraisers and assessors of real estate	obtain financial information	58
appraisers and assessors of real estate	collect property financial information	58
appraisers and assessors of real estate	perform property market research	58
appraisers and assessors of real estate	analyse insurance risk	58
architectural and engineering managers	create architectural sketches	88,3
architectural and engineering managers	draw blueprints	88,3
architectural and engineering managers	check architectural drawings on site	88,3
architectural and engineering managers	use CAD software	88,3
architectural and engineering managers	integrate engineering principles in architectural design	88,3
architectural and engineering managers	use CADD software	88,3
architectural and engineering managers	draft design specifications	88,3
architectural and engineering managers	use technical drawing software	88,3
architectural and engineering managers	create technical plans	88,3
architectural and engineering managers	execute analytical mathematical calculations	88,3
automotive and watercraft service attendants	monitor student's behaviour	81,6
automotive and watercraft service attendants	assist passengers	81,6
automotive and watercraft service attendants	apply conflict management	81,6
automotive and watercraft service attendants	adhere to organisational guidelines	81,6
automotive and watercraft service attendants	cooperate with colleagues	81,6
automotive and watercraft service attendants	supervise children	81,6
automotive and watercraft service attendants	communicate with youth	81,6
automotive body and related repairers	carry out improvised vehicle repairs	97,8
automotive body and related repairers	use specialised tools in electric repairs	97,8
automotive body and related repairers	install car electronics	97,8
automotive body and related repairers	read standard blueprints	97,8
automotive body and related repairers	troubleshoot	97,8
automotive body and related repairers	repair vehicle's electrical equipment	97,8
automotive body and related repairers	use technical documentation	97,8
automotive body and related repairers	use automotive diagnostic equipment	97,8
automotive body and related repairers	perform vehicle diagnostic procedures	97,8
automotive body and related repairers	perform manual work autonomously	97,8
automotive body and related repairers	install automotive electrical equipment	97,8
automotive body and related repairers	fasten components	97,8
automotive body and related repairers	wear appropriate protective gear	97,8
automotive body and related repairers	apply health and safety standards	97,8
automotive body and related repairers	perform test run	97,8
automotive body and related repairers	inspect for faults in the vehicle's electric system	97,8
automotive service technicians and mechanics	respond to customers' inquiries	98,1
