11-1011.00;0.72;Direct financial operations;Direct organizational operations, projects, or services;Prepare staff schedules or work assignments;Analyze data to assess operational or project effectiveness;Develop organizational policies or programs;Implement organizational process or policy changes;Direct sales, marketing, or customer service activities;Confer with organizational members to accomplish work activities;Prepare operational budgets;Resolve employee or contractor problems;Manage human resources activities;Negotiate contracts for transportation, distribution, or logistics services;Coordinate with external parties to exchange information;Analyze data to inform operational decisions or activities;Direct administrative or support services;Present information to the public;Communicate organizational policies and procedures;Advise others on legal or regulatory compliance matters;Analyze impact of legal or regulatory changes;Manage construction activities;Prepare financial documents, reports, or budgets;Prepare operational progress or status reports;Draft legislation or regulations;Liaise between departments or other groups to improve function or communication;Represent the organization in external relations;Promote products, services, or programs;Coordinate special events or programs;;;;;;;;;;
11-2011.00;0.473;Develop promotional materials;Examine marketing materials to ensure compliance with policies or regulations;Prepare operational budgets;Confer with organizational members to accomplish work activities;Coordinate operational activities with external stakeholders;Evaluate employee performance;Supervise employees;Direct organizational operations, projects, or services;Direct financial operations;Direct sales, marketing, or customer service activities;Develop marketing plans or strategies;Compile operational data;Conduct opinion surveys or needs assessments;Coordinate special events or programs;Implement organizational process or policy changes;Monitor performance of organizational members or partners;Negotiate sales or lease agreements for products or services;Prepare financial documents, reports, or budgets;Create marketing materials;Advise others on business or operational matters;Conduct employee training programs;Establish interpersonal business relationships to facilitate work activities;Analyze data to assess operational or project effectiveness;Promote products, services, or programs;Manage organizational or project budgets;Advise customers on technical or procedural issues;Represent the organization in external relations;Manage operations, research, or logistics projects;Maintain knowledge of current developments in area of expertise;;;;;;;;
11-3021.00;0.714;Develop computer or information systems;Coordinate operational activities with external stakeholders;Develop organizational goals or objectives;Analyze data to inform operational decisions or activities;Confer with organizational members to accomplish work activities;Direct organizational operations, projects, or services;Resolve employee or contractor problems;Manage operations, research, or logistics projects;Evaluate employee performance;Advise customers on technical or procedural issues;Conduct employee training programs;Hire personnel;Maintain knowledge of current developments in area of expertise;Recruit personnel;Determine resource needs;Develop operating strategies, plans, or procedures;Develop organizational policies or programs;Recommend organizational process or policy changes;Prepare operational progress or status reports;Analyze data to determine project feasibility;Manage organizational or project budgets;Purchase materials, equipment, or other resources;;;;;;;;;;;;;;;
11-3121.00;0.292;Liaise between departments or other groups to improve function or communication;Advise others on legal or regulatory compliance matters;Recommend organizational process or policy changes;Administer compensation or benefits programs;Analyze data to inform operational decisions or activities;Manage human resources activities;Hire personnel;Represent the organization in external relations;Interview employees, customers, or others to collect information;Negotiate labor disputes;Recruit personnel;Supervise employees;Communicate organizational policies and procedures;Estimate labor requirements;Investigate industrial or transportation accidents;Prepare reports related to compliance matters;Analyze data to inform personnel decisions;Conduct employee training programs;Maintain knowledge of current developments in area of expertise;Compile operational data;Maintain personnel records;Prepare operational budgets;Coordinate special events or programs;Negotiate sales or lease agreements for products or services;Advise others on career or personal development;;;;;;;;;;;;
13-1121.00;0.149;Correspond with customers to answer questions or resolve complaints;Authorize financial actions;Verify accuracy of records;Organize special events;Confer with personnel to coordinate business operations;Inspect facilities or equipment to ensure specifications are met;Prepare financial documents;Monitor organizational compliance with regulations;Conduct eligibility or selection interviews;Negotiate contracts with clients or service providers;Develop financial or business plans;Conduct surveys in organizations;Supervise employees;Train personnel to enhance job skills;Oversee business processes;Confer with others about financial matters;Create marketing materials;Market products, services, or events;Update professional knowledge;Obtain documentation to authorize activities;;;;;;;;;;;;;;;;;
13-2011.01;0.397;Examine financial records or processes;Maintain data in information systems or databases;Analyze business or financial data;Examine financial records;Prepare financial documents;Analyze budgetary or accounting data;Analyze financial information;Conduct financial or regulatory audits;Calculate tax information;Prepare financial documents, reports, or budgets;Advise others on human resources topics;Report information to managers or other personnel;Develop business or financial information systems;Advise others on financial matters;Supervise employees;Appraise property values;Evaluate condition of properties;Monitor inventories of products or materials;Identify opportunities to improve operational efficiency;;;;;;;;;;;;;;;;;;
15-1132.00;0.813;Modify software programs to improve performance;Analyze project data to determine specifications or requirements;Collaborate with others to determine design specifications or details;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;Assess database performance;Design software applications;Prepare data for analysis;Develop testing routines or procedures;Manage information technology projects or system activities;Provide technical support for software maintenance or use;Supervise information technology personnel;Develop performance metrics or standards related to information technology;Coordinate software or hardware installation;Monitor computer system performance to ensure proper operation;Teach others to use computer equipment or hardware;Document technical specifications or requirements;Provide recommendations to others about computer hardware;;;;;;;;;;;;;;;;;;;;
17-1011.00;0.714;Create graphical representations of structures or landscapes;Incorporate green features into the design of structures or facilities;Direct design or development activities;Prepare contracts, disclosures, or applications;Document technical design details;Discuss designs or plans with clients;Design structures or facilities;Inspect facilities or sites to determine if they meet specifications or standards;Perform marketing activities;Prepare detailed work plans;Supervise engineering or other technical personnel;Investigate the environmental impact of projects;Design water conservation systems;Prepare procedural documents;Analyze costs and benefits of proposed designs or projects;;;;;;;;;;;;;;;;;;;;;;
19-3031.02;0.311;Counsel clients on mental health or personal achievement;Diagnose neural or psychological disorders;Confer with clients to exchange information;Prepare scientific or technical reports or presentations;Advise others on healthcare matters;Collect information from people through observation, interviews, or surveys;Collect archival data;Administer standardized physical or psychological tests;Design psychological or educational treatment procedures or programs;Direct medical science or healthcare programs;Review professional literature to maintain professional knowledge;Supervise trainees;Develop educational programs;Plan social sciences research;;;;;;;;;;;;;;;;;;;;;;;
23-1011.00;0.626;Identify implications for cases from legal precedents or other legal information;Provide legal advice to clients;Represent the interests of clients in legal proceedings;Interview claimants to get information related to legal proceedings;Meet with individuals involved in legal processes to provide information and clarify issues;Research relevant legal materials to aid decision making;Prepare legal documents;Arbitrate disputes between parties to resolve legal conflicts;Supervise activities of other legal personnel;Prepare documentation of legal proceedings;Evaluate information related to legal matters in public or personal records;Draft legislation or regulations;;;;;;;;;;;;;;;;;;;;;;;;;
